index,annotator,datasource,doc_id,end_index,entity_id,entity,is_keyphrase,phrase,start_index
2,kevin,wikinews,6,984.0,3,Cocaine,0.0,"Mesa's resignation was influenced by the pressures of Evo Morales, both the leader of coca growers and MAS",878.0
3,kevin,wikinews,6,1165.0,3,Cocaine,0.0,The MAS resist the efforts of the Bolivian government to eradicate coca,1094.0
4,kevin,wikinews,6,1266.0,3,Cocaine,0.0,"The use of coca is an old tradition of Bolivian Indians, as tea, medicine, and during social events",1167.0
5,kevin,wikinews,6,1326.0,3,Cocaine,0.0,The cultivation of coca is a financial resource to Bolívia,1268.0
6,kevin,wikinews,6,1419.0,3,Cocaine,0.0,"Bolivia is considered the world's third-largest cultivator of coca, after Colombia and Peru",1328.0
0,kevin,wikinews,76,1228.0,10,Jan Egeland,0.0,Egeland said that the delay would cause the situation to become infinitely worse and would prevent the ingress of humanitarian aid to the millions affected,1073.0
1,kevin,wikinews,76,288.0,10,Jan Egeland,1.0,"Speaking in Khartoum today, Jan Egeland, Under-Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator of the United Nations, said “this is the moment of truth. We are playing with a powder keg”.",73.0
2,kevin,wikinews,76,71.0,10,Jan Egeland,1.0,"""Darfur a powder keg"" says UN Head of Humanitarian Affairs",13.0
0,kevin,wikinews,81,397.0,10,United States House Committee on Oversight and Government Reform,1.0,"The United States House Committee on Oversight and Government Reform held a hearing today on the accusation that the Bush Administration had interfered with data regarding climate change in order ""to mislead the public by injecting doubt into the science of global warming.""",123.0
1,kevin,wikinews,81,678.0,10,United States House Committee on Oversight and Government Reform,0.0,The committee isn't trying to obtain state secrets or documents that could affect our immediate national security,565.0
2,kevin,wikinews,81,815.0,10,United States House Committee on Oversight and Government Reform,0.0,We are simply seeking answers to whether the White House's political staff is inappropriately censoring impartial government scientists,680.0
3,kevin,wikinews,81,1047.0,10,United States House Committee on Oversight and Government Reform,0.0,We know that the White House possesses documents that contain evidence of an attempt by senior administration officials to mislead the public by injecting doubt into the science of global warming and minimize the potential danger.,817.0
4,kevin,wikinews,81,543.0,10,United States House Committee on Oversight and Government Reform,0.0,"On January 23, 2007, Chairman Henry Waxman and Tom Davis had requested documents from the Council on Environmental Quality but were denied access",398.0
0,kevin,wikinews,98,79.0,0,Finland,1.0,Japanese man retains title at Air Guitar World Championship in Finland,9.0
1,kevin,wikinews,98,718.0,0,Finland,0.0,"The contestants who qualified for the finals were from Finland, Japan, Australia, New Zealand, the United States, Canada, Germany, Switzerland and Spain.",565.0
2,kevin,wikinews,98,199.0,0,Finland,0.0,"Ochi Yosuke, from Japan, has retained his title at the world air guitar championships, held in Oulu, Northern Finland.",81.0
0,kevin,wikinews,36,259.0,2,Nuclear weapon,0.0,He stated that Iran would not pursue nuclear weapons,207.0
0,kevin,wikinews,86,1349.0,2,Montenegro,0.0,"Serbia competed as an independent country for the first time, separate from Montenegro or Bosnia-Herzegovina, and immediately won the competition",1204.0
0,kevin,wikinews,45,64.0,6,Ayman al-Zawahiri,1.0,Al-Jazeera airs new video of Ayman al-Zawahri,19.0
1,kevin,wikinews,45,198.0,6,Ayman al-Zawahiri,1.0,"The Qatar-based Arabic language television network al-Jazeera has aired a new tape of al-Qaeda's second-in-command, Ayman al-Zawahri",66.0
2,kevin,wikinews,45,533.0,6,Ayman al-Zawahiri,0.0,al-Zawahri says he survived an American air strike targeting him in eastern Pakistan on January 13,435.0
3,kevin,wikinews,45,990.0,6,Ayman al-Zawahiri,0.0,"""Butcher of Washington, you are not only defeated and a liar, but also a failure. You are a curse on your own nation and you have brought and will bring them only catastrophes and tragedies,"" Zawahri said, referring to President Bush",757.0
4,kevin,wikinews,45,1053.0,6,Ayman al-Zawahiri,0.0,"""Bush, do you know where I am? I am among the Muslim masses.""",992.0
5,kevin,wikinews,45,1240.0,6,Ayman al-Zawahiri,0.0,"al-Zawahri also threatened the citizens of Britain and the U.S.A. in the tape; ""The lion of Islam, Sheik Osama bin Laden, may God protect him, offered you a decent exit from your dilemma",1054.0
6,kevin,wikinews,45,1413.0,6,Ayman al-Zawahiri,0.0,"But your leaders, who are keen to accumulate wealth, insist on throwing you in battles and killing your souls in Iraq and Afghanistan and — God willing — on your own land.",1242.0
7,kevin,wikinews,45,1620.0,6,Ayman al-Zawahiri,0.0,"A U.S. counterterrorism official said to AP reporters on condition of anonymity, that the message broadcast by al-Jazeera indicates that al-Qaeda believed it was important to show that al-Zawahri is alive",1416.0
8,kevin,wikinews,45,1773.0,6,Ayman al-Zawahiri,0.0,"The U.S. official also noted that the video was delivered quickly, demonstrating al-Zawahri's ability to get his message out even faster than bin Laden",1622.0
9,kevin,wikinews,45,1968.0,6,Ayman al-Zawahiri,0.0,"As al-Zawahri make a reference to Osama Bin Laden's offering of a truce, it appears this tape is recorded not more than 12 days ago, which make a very short time according to al-Qaeda standards",1775.0
0,kevin,wikinews,54,892.0,1,England,0.0,"Currently the BNP has 15 councillors across England and stated at its campaign launch that it intends to add ""another 15 or 20"" seats",759.0
0,kevin,wikinews,84,1468.0,1,Greece,0.0,The non-governmental program Ecumenical Hellenism operates since 1995 and exists under the patronage of the Hellenic Republic as well as under the blessing and support of the Orthodox Ecumenical Patriarchate and the Archbishop of Athens and All Greece Christodoulos,1203.0
0,kevin,wikinews,82,64.0,12,Egypt,1.0,Egypt sentences blogger to four years for insulting Islam,7.0
1,kevin,wikinews,82,228.0,12,Egypt,1.0,"An Egyptian blogger, Abdul Kareem Suleiman Amer, known online as Kareem Amer, was sentenced to four years in prison on Thursday for insulting Islam on his weblog.",66.0
2,kevin,wikinews,82,859.0,12,Egypt,0.0,"The court took special interest in his posting to Coptic blogs, i.e. those run by Egyptian Christians",758.0
3,kevin,wikinews,82,1410.0,12,Egypt,0.0,"Expressing surprise at the severity of the sentence given Egypt's recent history, he said it was a ""gloomy day for all the advocates of freedom of expression"", not only in Egypt but also around the world",1207.0
4,kevin,wikinews,82,1794.0,12,Egypt,0.0,"it called the sentence a ""message of intimidation"" to Egyptian bloggers who, it said, were emerging as an ""effective bulwark"" against what it called the regime’s authoritarian excesses",1610.0
0,kevin,wikinews,25,411.0,3,Rip current,0.0,"The fury of Dennis overnight wracked the area with torrential flood, causing rains, dangerous rip tides, tidal swells, and winds up to 175 miles per hour",258.0
0,kevin,wikinews,42,187.0,7,Iraq,1.0,The United States Senate met behind closed doors on Tuesday under Democratic pressure to investigate the intelligence that led to the war in Iraq,42.0
1,kevin,wikinews,42,588.0,7,Iraq,0.0,Senate Minority Leader Harry Reid stated that a private session was justified by the fact that the indictment of Lewis Libby showed how the administration manipulated the intelligence in order to justify the War on Iraq,369.0
2,kevin,wikinews,42,721.0,7,Iraq,0.0,President Bush made his case on the war by citing U.S. intelligence showed Iraq with the possessions of weapons of mass destruction,590.0
3,kevin,wikinews,42,1231.0,7,Iraq,0.0,"Conservatives saw the unusual maneuver as a ploy to distract the public from President Bush's recent nomination of Samuel Alito to the Supreme Court and dismissed the investigation, which has been in the news over the past several days with the resignation of Vice President Cheney's aide Scooter Libby after the disclosure that Libby lied under oath about leaking information that would provocate war between Iraq and the U.S",805.0
0,kevin,wikinews,46,59.0,6,Norway,1.0,Norway-led peacekeeper base attacked in Afghanistan,8.0
1,kevin,wikinews,46,162.0,6,Norway,1.0,"Demonstrators today attacked a Norwegian peacekeeper base in Meymaneh, Faryab, north-west Afghanistan",61.0
2,kevin,wikinews,46,391.0,6,Norway,0.0,"32 Norwegian, 16 Finnish, three Latvian and one Icelandic peacekeepers were present at the camp during the attack, say the Norwegian Defence Forces",244.0
3,kevin,wikinews,46,611.0,6,Norway,0.0,"In addition, five Norwegian peacekeepers were injured",558.0
0,kevin,wikinews,8,390.0,2,Japan,0.0,"She also pressed Asian partners in the talks, China, Japan, and South Korea, to make greater efforts to bring Pyongyang back into the fold",252.0
1,kevin,wikinews,8,250.0,2,Japan,1.0,"Condoleezza Rice, in Japan as part of her first trip to Asia as United States Secretary of State, gave a speech in which she urged North Korea to return to currently stalled six-party talks",61.0
0,kevin,wikinews,30,1714.0,2,United Kingdom,0.0,"The US and UK navies are also flying in specialist rescue equipment, including two U.S. navy owned remotely-operated underwater robots capable of cutting through steel lines up to 1"" thick and one U.K. video array ROV",1497.0
0,kevin,wikinews,10,63.0,7,Reform of the United Nations,1.0,Kofi Annan unveils UN reform plan,30.0
1,kevin,wikinews,10,328.0,7,Reform of the United Nations,0.0,"The plan, entitled In Larger Freedom, is part of the UN's attempt to revitalise itself during its sixtieth anniversary year",205.0
2,kevin,wikinews,10,581.0,7,Reform of the United Nations,0.0,"this plan will be the largest change ever to the international body, calling for the addition of nine members to the Security Council, and for the creation of a new Human Rights Council to replace the 53-member Human Rights Commission",347.0
3,kevin,wikinews,10,824.0,7,Reform of the United Nations,0.0,"Oxfam, Amnesty International, and other NGOs, have come out in support of the plan",742.0
0,kevin,wikinews,52,313.0,9,France,1.0,"A draft U.N. Security Council statement backed by the United States, Britain, and France calling for a report in two weeks on Iran's compliance with demands that it suspend uranium enrichment was objected to by China and Russia on Tuesday",75.0
0,kevin,wikinews,70,247.0,4,Tirana,1.0,"Turkish Airlines Flight 1476, a Boeing 737 aircraft with 113 passengers and crew on board was hijacked on Tuesday, during a flight from Tirana, Albania to Istanbul, Turkey by one Turk",64.0
0,kevin,wikinews,68,1143.0,2,Royal Air Force,0.0,"The British Ministry of Defense said the dead included 12 Royal Air Force personnel, a Royal Marine and an army soldier",1024.0
0,kevin,wikinews,71,1794.0,11,Pregnancy,0.0,"Italy, for example, has very strict measures, such as a minimum fine of 150 euros for smoking in public places with additional charges leveled if the offender was near a pregnant woman or a child under 13",1590.0
0,kevin,wikinews,54,1618.0,7,Today (BBC Radio 4),0.0,"Former Conservative leader Iain Duncan Smith told BBC radio 4's Today program that the BNPs message was gaining headway in disadvantaged areas and identified that “What we have picked up in these very difficult communities is the collapse in the quality of life for so many people""",1337.0
0,kevin,wikinews,36,1248.0,1,International Atomic Energy Agency,0.0,"One British official was quoted as saying ""This was an unhelpful speech on which we will now want to consult our partners on the International Atomic Energy Agency board of governors.""",1064.0
0,kevin,wikinews,14,1255.0,7,Japanese Society for History Textbook Reform,0.0,"The protests are against the Japanese Society for History Textbook Reform, which is publishing a high-school textbook that refers to the Nanjing Massacre as an ""incident"" and de-emphasizes the roles of comfort women as well as the contemporary issues surrounding Japanese Prime Minister Junichiro Koizumi's visits to the Yasukuni shrine, in honor of Japanese soldiers",888.0
0,kevin,wikinews,5,1288.0,9,Presidency of George W. Bush,0.0,the Bush administration has proposed US$780 million to institute a plan that works on two levels: to promote alternative crops to farmers and to increase military interdiction for finding and destroying heroin labs and storage facilities,1051.0
0,kevin,wikinews,68,1789.0,10,Des Browne,0.0,"British Secretary of State for Defence Des Browne said: ""This is dreadful and shocking news. I know that the people of Britain will join me in sending our deep condolences to the loved ones of those who have lost their lives. """,1562.0
1,kevin,wikinews,68,1908.0,10,Des Browne,0.0,"""At this stage all the indications are that this was a terrible accident and not the result of hostile action,"" he added",1788.0
0,kevin,wikinews,73,63.0,5,Microsoft,1.0,Microsoft says no delay for European launch of Vista,11.0
1,kevin,wikinews,73,307.0,5,Microsoft,1.0,"Microsoft confirmed today that it will ship Vista, the latest version of its Windows operating system, in Europe and South Korea as scheduled, despite warnings from the European Commission competition committee and Korean fair trade regulator",65.0
2,kevin,wikinews,73,410.0,5,Microsoft,0.0,A press release on the Microsoft website said it had been in 'constructive dialogue' with both bodies,309.0
3,kevin,wikinews,73,530.0,5,Microsoft,0.0,"According to Brad Smith, the company's general council, Microsoft has agreed to several changes set out by the EU body",412.0
4,kevin,wikinews,73,700.0,5,Microsoft,0.0,"The discussion mostly centers around the inclusion of Google search facilities, Adobe PDF creation tools, and Microsoft's own security software in the operating system",533.0
5,kevin,wikinews,73,918.0,5,Microsoft,0.0,As Microsoft Windows is used by 90% of the consumer computer market both committees expressed concerns that the bundling of these services and software would push companies offering similar products out of the market,702.0
6,kevin,wikinews,73,1107.0,5,Microsoft,0.0,Microsoft raised the possibility of the Vista launch being delayed in the EU and Korea however the companies CEO Steve Balmer last night confirmed this would not be the case,934.0
7,kevin,wikinews,73,1200.0,5,Microsoft,0.0,At the time Microsoft said it was unsure what changes the commission required to its new OS,1109.0
8,kevin,wikinews,73,1792.0,5,Microsoft,0.0,"In the 2004 action Microsoft was required to share information stored on its servers with competing companies, something it has so far failed to do",1645.0
0,kevin,wikinews,70,175.0,9,Turkish Airlines Flight 1476,1.0,"Turkish Airlines Flight 1476, a Boeing 737 aircraft with 113 passengers and crew on board",86.0
0,kevin,wikinews,39,850.0,2,Haiti,0.0,"Rainfall accumulations are expected in amounts of 5 to 10 inches, with isolated areas of 25 inches over the Cayman Islands, Jamaica, Haiti, and Cuba",702.0
1,kevin,wikinews,39,1982.0,2,Haiti,0.0,"Thirteen are believed dead, twelve in Haiti and one in Jamaica",1920.0
0,kevin,wikinews,62,318.0,7,Taepodong-2,1.0,"The missile, Taepodong 2, could with such a range reach the United States mainland",236.0
0,kevin,wikinews,77,67.0,9,Abdullah of Saudi Arabia,1.0,Cheney meets with King Abdullah in Riyadh,26.0
1,kevin,wikinews,77,187.0,9,Abdullah of Saudi Arabia,0.0,"U.S. Vice President Dick Cheney met with Saudi leader King Abdullah in Riyadh, the capital city of Saudi Arabia, today",69.0
2,kevin,wikinews,77,520.0,9,Abdullah of Saudi Arabia,0.0,"A Saudi official said Cheney and Abdullah would discuss ""the deteriorating situation in Iraq"" as well as the situation in Lebanon, the Israeli-Palestinian peace process and the standoff with Iran",325.0
0,kevin,wikinews,25,82.0,6,United States,1.0,Dozens left dead in Caribbean as Hurricane Dennis moves toward U.S.,15.0
1,kevin,wikinews,25,258.0,6,United States,1.0,Hurricane Dennis moved on toward the U.S. Gulf coast but not before its deadly fury was unleashed upon the region's many island nations.,122.0
0,kevin,wikinews,9,1219.0,0,Republican Party (United States),0.0,"Rep. James Sensenbrenner, a Wisconsin Republican, said of previous rulings in Florida that they were ""enforcing a merciless directive to deprive Terri Schiavo of her right to life",1040.0
0,kevin,wikinews,84,411.0,9,Athanasios Angelopoulos,1.0,"the heads of the program, Stavros Panousopoulos and professor Athanasios Angelopoulos payed a visit to the President of the Hellenic Republic, at the Presidential Palace in Athens",232.0
0,kevin,wikinews,11,374.0,8,Europol,0.0,"The individuals are suspected in laundering US$300 million in gang-related activities such as prostitution, murder, and arms and drug trafficking, according to police with Interpol and Europol",182.0
0,kevin,wikinews,95,286.0,3,Parliament of the United Kingdom,0.0,"On the same day that Tony Blair resigned as Prime Minister of the United Kingdom and quit as a Member of Parliament, he was appointed envoy to the Middle East for the Quartet on the Middle East",93.0
1,kevin,wikinews,95,834.0,3,Parliament of the United Kingdom,0.0,"Tony Blair said, in his final address to Parliament on Wednesday, that ""The absolute priority is to try to give effect to what is now the consensus across the international community &mdash; that the only way of bringing stability and peace to the Middle East is a two-state solution,"" Blair continued, ""I believe it is possible to do that but it will require a huge intensity of focus and work.""",438.0
0,kevin,wikinews,40,1064.0,0,China,0.0,Russia and China had signaled they opposed wording the resolution in a way that threatened sanctions,964.0
1,kevin,wikinews,40,1232.0,0,China,0.0,"Chinese Foreign Minister Li Zhaoxing, told the council, ""The commission itself believes that the investigation is yet to be completed and there is no final conclusion",1066.0
0,kevin,wikinews,34,529.0,3,International Atomic Energy Agency,0.0,The Thurday adoption in Vienna by the governing board of the International Atomic Energy Agency was unanimous and legally non-binding in asking Iran to suspend all nuclear fuel related activities,334.0
0,kevin,wikinews,70,298.0,3,Italy,0.0,The plane was flown to Brindisi in southern Italy,249.0
1,kevin,wikinews,70,455.0,3,Italy,0.0,"It sent out an SOS twice in Greek airspace, and both Greece and Italy scrambled F-16 Fighting Falcon fighter jets to escort it before it landed in Brindisi",300.0
2,kevin,wikinews,70,866.0,3,Italy,0.0,The Italian air force in turn sent up two F-16s to intercept the plane and reportedly forced it to land,763.0
0,kevin,wikinews,73,696.0,0,Adobe,0.0,"The discussion mostly centers around the inclusion of Google search facilities, Adobe PDF creation tools, and Microsoft's own security software in the operating system",529.0
0,kevin,wikinews,78,1662.0,7,Liberal Party of Canada,0.0,The 105-member Senate is currently dominated by the Liberals,1602.0
1,kevin,wikinews,78,1899.0,7,Liberal Party of Canada,0.0,"""Many Albertans I'm sure will share my view that it will not be good for the province to have an elected Senate as long as we don't have a constitutional change on the number of senators by province,"" Liberal leader Stephane Dion said",1665.0
0,kevin,wikinews,81,1680.0,2,United States Department of Commerce,0.0,"The scientists in the survey all worked for a wide array of government agencies: NASA, Environmental Protection Agency, Department of Agriculture, Department of Energy, Department of Commerce, Department of Defense, and the Department of Interior",1434.0
0,kevin,wikinews,33,1129.0,8,Syria,0.0,"Speaking on the issue of border crossings of troops and munitions from Syria and Iran, Rumsfeld implied that those nations don't want progress in to be made in Iraq",965.0
1,kevin,wikinews,33,1245.0,8,Syria,0.0,same with the Syrians...,1221.0
2,kevin,wikinews,33,1282.0,8,Syria,0.0,are they being helpful or unhelpful?,1246.0
0,kevin,wikinews,54,1602.0,12,BBC,0.0,"Former Conservative leader Iain Duncan Smith told BBC radio 4's Today program that the BNPs message was gaining headway in disadvantaged areas and identified that “What we have picked up in these very difficult communities is the collapse in the quality of life for so many people""",1321.0
0,kevin,wikinews,50,91.0,2,Ukraine,1.0,Ukraine does not allow Transnistrian goods transit without Moldovan customs stamps,9.0
1,kevin,wikinews,50,176.0,2,Ukraine,1.0,"On March 3, Ukraine instituted a new customs regime at the border with Transnistria",93.0
2,kevin,wikinews,50,422.0,2,Ukraine,1.0,"Under the order issued by Ukrainian Customs' head, at the request of President Viktor Yushchenko, all the Transnistrian goods that are transported via Ukraine will have to be accompanied by customs documents released by the Moldovan authorities",178.0
3,kevin,wikinews,50,611.0,2,Ukraine,0.0,Ukraine PM Yuri Yekhanurov has charged the Foreign Ministry and the State Customs officials to render the account to the society for the goods circulation on the Transdniestrian frontier,425.0
4,kevin,wikinews,50,713.0,2,Ukraine,0.0,"In January I met the businessmen and authorities from Moldova, Ukraine and Transdniestrian in Odesa",614.0
5,kevin,wikinews,50,960.0,2,Ukraine,0.0,"In the course of the meeting the sides voiced their precise positions towards the rules of the game,"" noted PM of Ukraine speaking about the special terms of freight transportation via the territory of Moldova, Ukraine and Transdniestrian region",715.0
6,kevin,wikinews,50,1075.0,2,Ukraine,0.0,"According to his words, the freight from Transdniestrian region will cross Ukraine only if it has Moldova’s stamp",962.0
7,kevin,wikinews,50,1721.0,2,Ukraine,0.0,"Javier SOLANA, EU High Representative for the CFSP, welcomes implementation by Moldova and Ukraine of Joint Declaration on Customs: ""I welcome that the Joint Declaration of the Ukrainian and Moldovan Prime Ministers of 30 December 2005 is now being implemented, whereby Ukraine only recognizes Moldovan customs stamps and Moldova facilitates the registration of Transnistrian enterprises in Chisinau. The implementation of this declaration is very important for the establishment of an orderly regime on the Ukrainian-Moldovan border to which the EU attaches great importance.""",1144.0
8,kevin,wikinews,50,2359.0,2,Ukraine,0.0,"The so-called Transnistrian president Igor Smirnov qualified Kiev's decision as economic attack and called on the Ukrainian authorities to revise it so as to avert ""a social-economic catastrophe"" in the region",2150.0
9,kevin,wikinews,50,2428.0,2,Ukraine,0.0,Trade between Transnistria and Ukraine totals about US$400 million,2362.0
0,kevin,wikinews,64,955.0,0,Cholera,0.0,"He added that people were being given injections to protect them from diseases like measles, tetanus and cholera",843.0
0,kevin,wikinews,20,46.0,2,Saturn,1.0,Twelve more moons of Saturn discovered,8.0
1,kevin,wikinews,20,237.0,2,Saturn,1.0,"Astronomers at the University of Hawaii Institute for Astronomy today announced their discovery of twelve further moons of Saturn, bringing the total number of moons discovered so far to 46",48.0
2,kevin,wikinews,20,696.0,2,Saturn,0.0,"Similar teams at the university led by David Jewitt discovered 11 moons of Jupiter in 2001, and a further 11 in 2002, before turning their attentions to Saturn",537.0
3,kevin,wikinews,20,913.0,2,Saturn,0.0,"11 of the newly discovered moons are in retrograde orbits, leading astronomers to hypothesize that they were originally asteroids, attracted out of the asteroid belt by Jupiter's gravity and then captured by Saturn",699.0
4,kevin,wikinews,20,1042.0,2,Saturn,0.0,"All of the moons are in inclined elliptical orbits, that range from 16 million to 22 million kilometres in distance from Saturn",915.0
5,kevin,wikinews,20,1214.0,2,Saturn,0.0,The new moons of Saturn are provisionally named S/2004 S07 through to S/2004 S18,1134.0
0,kevin,wikinews,46,392.0,1,Finland,0.0,"32 Norwegian, 16 Finnish, three Latvian and one Icelandic peacekeepers were present at the camp during the attack, say the Norwegian Defence Forces",245.0
1,kevin,wikinews,46,1258.0,1,Finland,0.0,"The purpose of the demonstration remains unknown, say the Finnish Defence Forces, but it is believed that the demonstrations have a connection with the Muhammad cartoons published by Jyllands-Posten",1060.0
0,kevin,wikinews,68,85.0,4,United Kingdom,1.0,"NATO plane crashes in southern Afghanistan, killing 14 British troops",16.0
1,kevin,wikinews,68,214.0,4,United Kingdom,1.0,"A NATO aircraft, a Hawker-Siddeley Nimrod MR2, crashed in Kandahar in southern Afghanistan today, killing 14 British servicemen",87.0
2,kevin,wikinews,68,556.0,4,United Kingdom,0.0,"British Prime Minister Tony Blair said the incident would ""distress the whole country"", adding that the mission in Afghanistan is ""vital"".",418.0
3,kevin,wikinews,68,779.0,4,United Kingdom,0.0,"""British forces are engaged in a vital mission in Afghanistan and this terrible event starkly reminds us of the risk that they face daily.""",640.0
4,kevin,wikinews,68,1142.0,4,United Kingdom,0.0,"The British Ministry of Defense said the dead included 12 Royal Air Force personnel, a Royal Marine and an army soldier",1023.0
5,kevin,wikinews,68,1615.0,4,United Kingdom,0.0,British Secretary of State for Defence Des Browne,1566.0
6,kevin,wikinews,68,1790.0,4,United Kingdom,0.0,I know that the people of Britain will join me in sending our deep condolences to the loved ones of those who have lost their lives,1659.0
0,kevin,wikinews,78,1068.0,11,Stanley Waters,0.0,"In 1989, then Prime Minister Brian Mulroney appointed Stan Waters to the Senate after he was elected in an Alberta-wide vote to fill a vacancy in the upper house",907.0
0,kevin,wikinews,27,1437.0,1,Coat of arms,0.0,loses the right to use the Order motto in his personal coat of arms,1370.0
0,kevin,wikinews,9,1205.0,8,Jim Sensenbrenner,0.0,"Rep. James Sensenbrenner, a Wisconsin Republican, said of previous rulings in Florida that they were ""enforcing a merciless directive to deprive Terri Schiavo of her right to life.",1025.0
1,kevin,wikinews,9,1352.0,8,Jim Sensenbrenner,0.0,"He continued that the House should ""reinforce the law's commitment to justice and compassion for all Americans, particularly the most vulnerable.",1207.0
0,kevin,wikinews,93,803.0,3,Judaism,0.0,"Other minor faiths are Protestant Christianity, Orthodox Christianity, and Judaism",721.0
0,kevin,wikinews,78,1346.0,5,Edmonton,0.0,"Edmonton, the capital of Alberta",1314.0
0,kevin,wikinews,62,959.0,0,China,0.0,"Ki-moon also says that N. Korea should set aside its plans to launch the test missile and return to talks with South Korea, the United States, Japan, Russia, and China, on its nuclear program",768.0
0,kevin,wikinews,44,441.0,6,United Nations Security Council,1.0,"Iranian president Mahmoud Ahmadinejad spoke out in a rare news conference on Saturday against statements made by Europe and the United States, saying that if any country refers it to the U.N. Security Council over its nuclear program, that it will end their voluntary compliance with surprise inspections and other nuclear cooperation with the U.N. nuclear watchdog, the IAEA",66.0
1,kevin,wikinews,44,691.0,6,United Nations Security Council,0.0,"President Ahmadinejad said that even if Iran is referred to the Security Council for possible sanctions, the action would still not stop its nuclear program",535.0
